AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;AccountNo;Bet_Amt;Product;;AccountNo;Vegas;Sportsbook;Games;Casino;Poker;Bingo;#NV;Adjustments
01148BP   ;21/11/2012;2;9;I;3;1337,5;900;Sportsbook;;;;01152SJ   ;1306,1579;Casino;;;;;;;;;;
01148BP   ;20/10/2012;2;9;I;5;1315;1275;Sportsbook;;;;01148BP   ;1300;Sportsbook;;;;;;;;;;
01152SJ   ;08/12/2012;22527_PRCH;22527;I;1;1309,9826;0;Poker;;;;01148BP   ;1275;Sportsbook;;;;;;;;;;
01152SJ   ;18/10/2012;22528_PRCH;22528;I;5;1306,1579;0;Casino;;;;01148BP   ;1270;Vegas;;;;;;;;;;
01148BP   ;05/12/2012;2;9;N;3;1300;3600;Sportsbook;;;;01152SJ   ;1261,1322;Poker;;;;;;;;;;
01148BP   ;01/10/2012;2;9;N;4;1275;550;Sportsbook;;;;01148BP   ;1250;Sportsbook;;;;;;;;;;
01148BP   ;26/11/2012;22512_XFER;22512;I;25;1270;1200;Vegas;;;;00C017    ;1230;Poker;;;;;;;;;;
01152SJ   ;14/10/2012;22527_PRCH;22527;I;2;1261,1322;0;Poker;;;;01196ZZ   ;1225,6;Vegas;;;;;;;;;;
01148BP   ;05/10/2012;2;9;I;9;1250;650;Sportsbook;;;;01148BP   ;1225;Sportsbook;;;;;;;;;;
00C017    ;21/12/2012;22527_PRCH;22527;I;5;1230;0;Poker;;;;00J381    ;1200;Sportsbook;;;;;;;;;;
01196ZZ   ;23/10/2012;22512_XFER;22512;I;613;1225,6;901,1;Vegas;;;;01148BP   ;1200;Sportsbook;;;;;;;;;;
01148BP   ;27/10/2012;2;9;M;3;1225;0;Sportsbook;;;;01196ZZ   ;1200;Sportsbook;;;;;;;;;;
00J381    ;06/12/2012;2;9;M;7;1200;500;Sportsbook;;;;01284UW   ;1200;Sportsbook;;;;;;;;;;
01148BP   ;24/11/2012;2;9;I;4;1200;0;Sportsbook;;;;01152SJ   ;1181,1464;Casino;;;;;;;;;;
01196ZZ   ;17/10/2012;3;8;I;10;1200;1425;Sportsbook;;;;00497XG   ;1180,12;Games;;;;;;;;;;
01196ZZ   ;16/11/2012;2;9;I;3;1200;0;Sportsbook;;;;00J381    ;1165;Sportsbook;;;;;;;;;;
01284UW   ;11/10/2012;46;5;I;1;1200;0;Sportsbook;;;;01148BP   ;1150;Sportsbook;;;;;;;;;;
01152SJ   ;07/12/2012;22528_PRCH;22528;I;1;1181,1464;0;Casino;;;;00357DG   ;1134;Games;;;;;;;;;;
00497XG   ;31/12/2012;638;0;I;817;1180,12;590,33;Games;;;;01148BP   ;1132,42;Sportsbook;;;;;;;;;;
00J381    ;03/10/2012;2;9;M;9;1165;1725;Sportsbook;;;;00497XG   ;1130,8;Games;;;;;;;;;;
01148BP   ;23/11/2012;2;9;M;4;1150;1000;Sportsbook;;;;01196ZZ   ;1130;Sportsbook;;;;;;;;;;
00357DG   ;15/11/2012;635;0;I;204;1134;918,5;Games;;;;01148BP   ;1125;Sportsbook;;;;;;;;;;
01148BP   ;25/10/2012;2;9;N;3;1132,42;0;Sportsbook;;;;01284UW   ;1125;Sportsbook;;;;;;;;;;
00497XG   ;31/12/2012;601;0;I;256;1130,8;912,28;Games;;;;01152SJ   ;1121,0344;Poker;;;;;;;;;;
01196ZZ   ;23/10/2012;3;8;I;5;1130;1350;Sportsbook;;;;01152SJ   ;1119,2637;Poker;;;;;;;;;;
01148BP   ;08/09/2012;2;9;I;7;1125;525;Sportsbook;;;;00357DG   ;1114,75;Games;;;;;;;;;;
01284UW   ;04/11/2012;46;5;I;41;1125;996;Sportsbook;;;;01152SJ   ;1105,4211;Casino;;;;;;;;;;
01152SJ   ;04/12/2012;22527_PRCH;22527;I;13;1121,0344;0;Poker;;;;01152SJ   ;1060,9748;Casino;;;;;;;;;;
01152SJ   ;04/11/2012;22527_PRCH;22527;I;9;1119,2637;0;Poker;;;;01152SJ   ;1060,8424;Casino;;;;;;;;;;
00357DG   ;13/11/2012;613;0;I;182;1114,75;649,15;Games;;;;01196ZZ   ;1050;Sportsbook;;;;;;;;;;
01152SJ   ;04/12/2012;22528_PRCH;22528;I;5;1105,4211;0;Casino;;;;01196ZZ   ;1047;Sportsbook;;;;;;;;;;
01152SJ   ;13/10/2012;22528_PRCH;22528;I;1;1060,9748;0;Casino;;;;01284UW   ;1030;Sportsbook;;;;;;;;;;
01152SJ   ;05/11/2012;22528_PRCH;22528;I;1;1060,8424;0;Casino;;;;01284UW   ;1025;Sportsbook;;;;;;;;;;
01196ZZ   ;20/10/2012;2;9;I;7;1050;0;Sportsbook;;;;01152SJ   ;1024,3583;Poker;;;;;;;;;;
01196ZZ   ;15/10/2012;3;8;I;6;1047;700;Sportsbook;;;;00J381    ;1015,78;Sportsbook;;;;;;;;;;
01284UW   ;22/10/2012;46;5;I;3;1030;0;Sportsbook;;;;01152SJ   ;1013,6139;Casino;;;;;;;;;;
01284UW   ;23/10/2012;275;5;I;6;1025;0;Sportsbook;;;;01148BP   ;1006,25;Sportsbook;;;;;;;;;;
01152SJ   ;18/10/2012;22527_PRCH;22527;I;3;1024,3583;0;Poker;;;;01152SJ   ;1002,2551;Poker;;;;;;;;;;
00J381    ;30/09/2012;2;9;M;6;1015,78;3547,1;Sportsbook;;;;01148BP   ;1000;Sportsbook;;;;;;;;;;
01152SJ   ;26/12/2012;22528_PRCH;22528;I;2;1013,6139;0;Casino;;;;01196ZZ   ;1000;Sportsbook;;;;;;;;;;
01148BP   ;12/10/2012;2;9;I;5;1006,25;506,25;Sportsbook;;;;01284UW   ;1000;Sportsbook;;;;;;;;;;
01152SJ   ;09/09/2012;22527_PRCH;22527;I;1;1002,2551;0;Poker;;;;01196ZZ   ;977;Sportsbook;;;;;;;;;;
01148BP   ;28/09/2012;2;9;M;2;1000;0;Sportsbook;;;;00C017    ;950;Poker;;;;;;;;;;
01148BP   ;27/11/2012;2;9;I;3;1000;0;Sportsbook;;;;01196ZZ   ;950;Vegas;;;;;;;;;;
01148BP   ;12/12/2012;2;9;N;1;1000;0;Sportsbook;;;;01152SJ   ;933,8098;Casino;;;;;;;;;;
01148BP   ;26/12/2012;2;9;N;2;1000;0;Sportsbook;;;;01148BP   ;912,5;Sportsbook;;;;;;;;;;
01196ZZ   ;23/09/2012;3;8;I;6;1000;2850;Sportsbook;;;;00357DG   ;907;Games;;;;;;;;;;
01284UW   ;19/10/2012;46;5;I;2;1000;0;Sportsbook;;;;00C017    ;900;Poker;;;;;;;;;;
01196ZZ   ;27/10/2012;2;9;I;19;977;563;Sportsbook;;;;00J381    ;900;Sportsbook;;;;;;;;;;
00C017    ;29/12/2012;22527_PRCH;22527;I;4;950;0;Poker;;;;01148BP   ;900;Sportsbook;;;;;;;;;;
01196ZZ   ;06/12/2012;22512_XFER;22512;I;12;950;1440;Vegas;;;;01152SJ   ;870,0242;Poker;;;;;;;;;;
01152SJ   ;14/09/2012;22528_PRCH;22528;I;10;933,8098;0;Casino;;;;00C017    ;870;Poker;;;;;;;;;;
01148BP   ;30/10/2012;2;9;I;4;912,5;3143,75;Sportsbook;;;;00J381    ;863,13;Sportsbook;;;;;;;;;;
00357DG   ;20/11/2012;635;0;I;178;907;681,8;Games;;;;01152SJ   ;859,7509;Casino;;;;;;;;;;
00C017    ;30/11/2012;22527_PRCH;22527;I;7;900;0;Poker;;;;00J381    ;856,25;Sportsbook;;;;;;;;;;
00J381    ;16/09/2012;2;9;M;4;900;900;Sportsbook;;;;00C017    ;855;Poker;;;;;;;;;;
01148BP   ;18/10/2012;2;9;N;3;900;1050;Sportsbook;;;;01284UW   ;840;Sportsbook;;;;;;;;;;
01148BP   ;21/10/2012;2;9;M;2;900;0;Sportsbook;;;;01148BP   ;837,5;Sportsbook;;;;;;;;;;
01148BP   ;04/12/2012;2;9;M;3;900;750;Sportsbook;;;;01148BP   ;825;Sportsbook;;;;;;;;;;
01152SJ   ;07/12/2012;22527_PRCH;22527;I;1;870,0242;0;Poker;;;;01152SJ   ;824,8574;Poker;;;;;;;;;;
00C017    ;25/11/2012;22527_PRCH;22527;I;2;870;0;Poker;;;;01148BP   ;818;Sportsbook;;;;;;;;;;
00J381    ;28/09/2012;2;9;M;6;863,13;0;Sportsbook;;;;01196ZZ   ;814,8;Vegas;;;;;;;;;;
01152SJ   ;26/09/2012;22528_PRCH;22528;I;3;859,7509;0;Casino;;;;01284UW   ;810;Sportsbook;;;;;;;;;;
00J381    ;28/12/2012;323;9;M;3;856,25;0;Sportsbook;;;;01152SJ   ;806,0617;Poker;;;;;;;;;;
00C017    ;28/11/2012;22527_PRCH;22527;I;3;855;0;Poker;;;;00C017    ;800;Poker;;;;;;;;;;
01284UW   ;22/12/2012;1;5;I;53;840;376,79;Sportsbook;;;;00J381    ;800;Sportsbook;;;;;;;;;;
01148BP   ;14/11/2012;2;9;I;4;837,5;0;Sportsbook;;;;01148BP   ;800;Sportsbook;;;;;;;;;;
01148BP   ;28/09/2012;2;9;N;2;825;1312,5;Sportsbook;;;;00357DG   ;785,5;Games;;;;;;;;;;
01152SJ   ;30/12/2012;22527_PRCH;22527;I;2;824,8574;0;Poker;;;;01284UW   ;784,5;Sportsbook;;;;;;;;;;
01148BP   ;14/09/2012;2;9;M;2;818;0;Sportsbook;;;;00J381    ;780;Sportsbook;;;;;;;;;;
01196ZZ   ;24/09/2012;22512_XFER;22512;I;408;814,8;689;Vegas;;;;01196ZZ   ;775;Sportsbook;;;;;;;;;;
01284UW   ;31/10/2012;36;5;I;5;810;0;Sportsbook;;;;01152SJ   ;770,9384;Poker;;;;;;;;;;
01152SJ   ;27/12/2012;22527_PRCH;22527;I;1;806,0617;0;Poker;;;;01152SJ   ;756,3808;Casino;;;;;;;;;;
00C017    ;24/11/2012;22527_PRCH;22527;I;3;800;0;Poker;;;;00J381    ;751,65;Sportsbook;;;;;;;;;;
00C017    ;15/12/2012;22527_PRCH;22527;I;3;800;0;Poker;;;;01148BP   ;750;Sportsbook;;;;;;;;;;
00J381    ;09/09/2012;2;9;N;4;800;1127,38;Sportsbook;;;;01284UW   ;750;Sportsbook;;;;;;;;;;
01148BP   ;24/11/2012;2;9;N;2;800;0;Sportsbook;;;;01284UW   ;731;Sportsbook;;;;;;;;;;
01148BP   ;30/11/2012;2;9;M;2;800;1150;Sportsbook;;;;00J381    ;730;Sportsbook;;;;;;;;;;
00357DG   ;14/11/2012;635;0;I;131;785,5;575,95;Games;;;;00C017    ;724,8;Bingo;;;;;;;;;;
01284UW   ;02/12/2012;46;5;I;23;784,5;635,85;Sportsbook;;;;00C017    ;700;Poker;;;;;;;;;;
00J381    ;27/12/2012;323;9;M;3;780;1056,25;Sportsbook;;;;00J381    ;700;Sportsbook;;;;;;;;;;
01196ZZ   ;29/09/2012;3;8;I;7;775;0;Sportsbook;;;;01148BP   ;700;Sportsbook;;;;;;;;;;
01152SJ   ;26/09/2012;22527_PRCH;22527;I;15;770,9384;0;Poker;;;;01152SJ   ;698,979;Casino;;;;;;;;;;
01152SJ   ;06/12/2012;22528_PRCH;22528;I;1;756,3808;0;Casino;;;;01148BP   ;690,63;Sportsbook;;;;;;;;;;
00J381    ;15/09/2012;323;9;M;3;751,65;748,87;Sportsbook;;;;00C017    ;680;Poker;;;;;;;;;;
01148BP   ;21/09/2012;2;9;N;2;750;0;Sportsbook;;;;01284UW   ;676;Sportsbook;;;;;;;;;;
01148BP   ;15/12/2012;2;9;I;2;750;0;Sportsbook;;;;01284UW   ;675;Sportsbook;;;;;;;;;;
01148BP   ;20/12/2012;2;9;I;3;750;0;Sportsbook;;;;01152SJ   ;671,3076;Poker;;;;;;;;;;
01284UW   ;02/12/2012;273;3;I;6;750;925;Sportsbook;;;;00J381    ;664,38;Sportsbook;;;;;;;;;;
01284UW   ;23/12/2012;1;5;I;21;731;685,33;Sportsbook;;;;01152SJ   ;662,2825;Poker;;;;;;;;;;
00J381    ;09/11/2012;323;9;M;5;730;813,75;Sportsbook;;;;01152SJ   ;656,291;Casino;;;;;;;;;;
00C017    ;10/09/2012;22508_STKE;22508;I;131;724,8;0;Bingo;;;;00J381    ;656,24;Sportsbook;;;;;;;;;;
00C017    ;01/12/2012;22527_PRCH;22527;I;2;700;0;Poker;;;;00357DG   ;656;Vegas;;;;;;;;;;
00J381    ;17/09/2012;2;9;M;4;700;900;Sportsbook;;;;00C017    ;656;Bingo;;;;;;;;;;
00J381    ;10/11/2012;2;9;M;5;700;1200;Sportsbook;;;;00C017    ;650;Poker;;;;;;;;;;
01148BP   ;13/09/2012;2;9;I;3;700;0;Sportsbook;;;;00J381    ;650;Sportsbook;;;;;;;;;;
01148BP   ;04/11/2012;2;9;I;3;700;475;Sportsbook;;;;01148BP   ;650;Sportsbook;;;;;;;;;;
01148BP   ;16/11/2012;2;9;M;2;700;1300;Sportsbook;;;;01284UW   ;650;Sportsbook;;;;;;;;;;
01152SJ   ;04/09/2012;22528_PRCH;22528;I;3;698,979;0;Casino;;;;01152SJ   ;630,2786;Poker;;;;;;;;;;
01148BP   ;05/09/2012;2;9;N;2;690,63;0;Sportsbook;;;;01196ZZ   ;630;Vegas;;;;;;;;;;
00C017    ;07/12/2012;22527_PRCH;22527;I;6;680;0;Poker;;;;00J381    ;626;Sportsbook;;;;;;;;;;
00C017    ;14/12/2012;22527_PRCH;22527;I;4;680;0;Poker;;;;00357DG   ;625;Vegas;;;;;;;;;;
01284UW   ;22/12/2012;46;5;I;29;676;816;Sportsbook;;;;00C017    ;625;Poker;;;;;;;;;;
01284UW   ;30/11/2012;273;3;I;17;675;1018,12;Sportsbook;;;;01152SJ   ;624,8048;Casino;;;;;;;;;;
01152SJ   ;13/12/2012;22527_PRCH;22527;I;9;671,3076;0;Poker;;;;01152SJ   ;624,1808;Casino;;;;;;;;;;
00J381    ;13/11/2012;2;9;M;4;664,38;800;Sportsbook;;;;01152SJ   ;623,6014;Casino;;;;;;;;;;
01152SJ   ;11/12/2012;22527_PRCH;22527;I;4;662,2825;0;Poker;;;;01152SJ   ;620,0903;Poker;;;;;;;;;;
01152SJ   ;12/09/2012;22528_PRCH;22528;I;6;656,291;0;Casino;;;;00357DG   ;602;Games;;;;;;;;;;
00J381    ;28/12/2012;2;9;M;3;656,24;756,25;Sportsbook;;;;01148BP   ;600;Sportsbook;;;;;;;;;;
00357DG   ;16/11/2012;22512_XFER;22512;I;92;656;304,7;Vegas;;;;01196ZZ   ;600;Sportsbook;;;;;;;;;;
00C017    ;28/09/2012;22508_STKE;22508;I;48;656;0;Bingo;;;;00775SM   ;587,2;Bingo;;;;;;;;;;
00C017    ;14/09/2012;22527_PRCH;22527;I;3;650;0;Poker;;;;01152SJ   ;586,717;Casino;;;;;;;;;;
00J381    ;22/09/2012;2;9;M;5;650;866;Sportsbook;;;;00J381    ;580;Sportsbook;;;;;;;;;;
00J381    ;11/10/2012;323;9;M;3;650;0;Sportsbook;;;;00J381    ;575;Sportsbook;;;;;;;;;;
01148BP   ;19/11/2012;2;9;M;2;650;0;Sportsbook;;;;00C017    ;570;Poker;;;;;;;;;;
01284UW   ;12/10/2012;1;5;I;2;650;0;Sportsbook;;;;00357DG   ;564;Games;;;;;;;;;;
01152SJ   ;04/09/2012;22527_PRCH;22527;I;1;630,2786;0;Poker;;;;01152SJ   ;561,7977;Casino;;;;;;;;;;
01196ZZ   ;20/12/2012;22512_XFER;22512;I;5;630;180;Vegas;;;;01152SJ   ;561,7627;Poker;;;;;;;;;;
00J381    ;07/10/2012;2;9;M;3;626;352;Sportsbook;;;;00C017    ;560;Poker;;;;;;;;;;
00357DG   ;12/10/2012;22512_XFER;22512;I;294;625;946,9;Vegas;;;;00J381    ;560;Sportsbook;;;;;;;;;;
00C017    ;21/09/2012;22527_PRCH;22527;I;3;625;0;Poker;;;;01284UW   ;560;Sportsbook;;;;;;;;;;
01152SJ   ;22/10/2012;22528_PRCH;22528;I;4;624,8048;0;Casino;;;;01152SJ   ;555,3497;Casino;;;;;;;;;;
01152SJ   ;23/10/2012;22528_PRCH;22528;I;4;624,8048;0;Casino;;;;00J381    ;550;Sportsbook;;;;;;;;;;
01152SJ   ;28/11/2012;22528_PRCH;22528;I;1;624,1808;0;Casino;;;;01196ZZ   ;550;Sportsbook;;;;;;;;;;
01152SJ   ;27/10/2012;22528_PRCH;22528;I;1;623,6014;0;Casino;;;;00C017    ;545;Poker;;;;;;;;;;
01152SJ   ;01/10/2012;22527_PRCH;22527;I;1;620,0903;0;Poker;;;;00J381    ;540;Sportsbook;;;;;;;;;;
00357DG   ;17/11/2012;638;0;I;133;602;548,1;Games;;;;01148BP   ;538,75;Sportsbook;;;;;;;;;;
01148BP   ;04/09/2012;2;9;I;2;600;0;Sportsbook;;;;00J381    ;536,75;Sportsbook;;;;;;;;;;
01148BP   ;19/10/2012;2;9;N;1;600;0;Sportsbook;;;;01196ZZ   ;536;Sportsbook;;;;;;;;;;
01148BP   ;11/11/2012;2;9;I;2;600;600;Sportsbook;;;;00C017    ;531,9;Bingo;;;;;;;;;;
01148BP   ;29/11/2012;2;9;I;3;600;1500;Sportsbook;;;;00J381    ;520;Sportsbook;;;;;;;;;;
01196ZZ   ;28/11/2012;3;8;I;3;600;0;Sportsbook;;;;00J381    ;510,75;Sportsbook;;;;;;;;;;
00775SM   ;07/10/2012;22508_STKE;22508;I;569;587,2;0;Bingo;;;;01284UW   ;510;Sportsbook;;;;;;;;;;
01152SJ   ;06/09/2012;22528_PRCH;22528;I;3;586,717;0;Casino;;;;01152SJ   ;503,8416;Poker;;;;;;;;;;
00J381    ;02/10/2012;2;9;M;4;580;0;Sportsbook;;;;00J381    ;502,1;Sportsbook;;;;;;;;;;
00J381    ;07/10/2012;46;5;M;7;575;0;Sportsbook;;;;00J381    ;500,25;Sportsbook;;;;;;;;;;
00C017    ;12/10/2012;22527_PRCH;22527;I;2;570;0;Poker;;;;00C017    ;500;Poker;;;;;;;;;;
00357DG   ;26/11/2012;635;0;I;76;564;347,9;Games;;;;00J381    ;500;Sportsbook;;;;;;;;;;
01152SJ   ;11/10/2012;22528_PRCH;22528;I;4;561,7977;0;Casino;;;;01148BP   ;500;Sportsbook;;;;;;;;;;
01152SJ   ;28/11/2012;22527_PRCH;22527;I;1;561,7627;0;Poker;;;;01148BP   ;500;#NV;;;;;;;;;;
00C017    ;18/11/2012;22527_PRCH;22527;I;2;560;0;Poker;;;;01196ZZ   ;500;Sportsbook;;;;;;;;;;
00J381    ;09/12/2012;323;9;M;2;560;0;Sportsbook;;;;01152SJ   ;499,2511;Poker;;;;;;;;;;
01284UW   ;25/10/2012;275;5;I;11;560;441,63;Sportsbook;;;;01152SJ   ;493,5025;Poker;;;;;;;;;;
01152SJ   ;30/09/2012;22528_PRCH;22528;I;6;555,3497;0;Casino;;;;01152SJ   ;489,6747;Casino;;;;;;;;;;
00J381    ;02/10/2012;42;4;M;2;550;484,62;Sportsbook;;;;01284UW   ;487;Sportsbook;;;;;;;;;;
01196ZZ   ;17/11/2012;1;5;I;7;550;109,15;Sportsbook;;;;00J381    ;480;Sportsbook;;;;;;;;;;
00C017    ;16/11/2012;22527_PRCH;22527;I;2;545;0;Poker;;;;01284UW   ;477,5;Sportsbook;;;;;;;;;;
00J381    ;14/09/2012;2;9;M;3;540;866,67;Sportsbook;;;;00J381    ;475;Sportsbook;;;;;;;;;;
00J381    ;30/09/2012;46;5;M;6;540;1120;Sportsbook;;;;01284UW   ;475;Sportsbook;;;;;;;;;;
00J381    ;02/10/2012;275;5;M;7;540;780;Sportsbook;;;;01152SJ   ;472,1435;Poker;;;;;;;;;;
01148BP   ;03/12/2012;2;9;N;1;538,75;0;Sportsbook;;;;01148BP   ;471,89;Sportsbook;;;;;;;;;;
00J381    ;23/09/2012;42;4;M;3;536,75;0;Sportsbook;;;;01284UW   ;470;Sportsbook;;;;;;;;;;
01196ZZ   ;15/12/2012;2;9;I;6;536;572;Sportsbook;;;;00357DG   ;461;Vegas;;;;;;;;;;
00C017    ;02/12/2012;22508_STKE;22508;I;56;531,9;0;Bingo;;;;00J381    ;460,89;Sportsbook;;;;;;;;;;
00J381    ;23/09/2012;1;5;M;10;520;600;Sportsbook;;;;00C017    ;460;Poker;;;;;;;;;;
00J381    ;17/10/2012;2;9;M;3;520;525;Sportsbook;;;;01196ZZ   ;460;Sportsbook;;;;;;;;;;
00J381    ;28/11/2012;2;9;M;3;520;0;Sportsbook;;;;00J381    ;456;Sportsbook;;;;;;;;;;
00J381    ;19/09/2012;323;9;M;3;510,75;0;Sportsbook;;;;00J381    ;450;Sportsbook;;;;;;;;;;
01284UW   ;10/10/2012;1;5;I;4;510;0;Sportsbook;;;;01148BP   ;450;Sportsbook;;;;;;;;;;
01152SJ   ;05/09/2012;22527_PRCH;22527;I;4;503,8416;0;Poker;;;;01196ZZ   ;450;Sportsbook;;;;;;;;;;
00J381    ;01/10/2012;42;4;M;2;502,1;414,72;Sportsbook;;;;01284UW   ;450;Sportsbook;;;;;;;;;;
00J381    ;05/12/2012;275;5;N;3;500,25;674,07;Sportsbook;;;;01152SJ   ;448,6818;Poker;;;;;;;;;;
00C017    ;07/09/2012;22527_PRCH;22527;I;2;500;0;Poker;;;;00C017    ;445;Poker;;;;;;;;;;
00C017    ;05/10/2012;22527_PRCH;22527;I;3;500;0;Poker;;;;00J381    ;444,62;Sportsbook;;;;;;;;;;
00C017    ;09/11/2012;22527_PRCH;22527;I;2;500;0;Poker;;;;00J381    ;440;Sportsbook;;;;;;;;;;
00C017    ;20/11/2012;22527_PRCH;22527;I;2;500;0;Poker;;;;00J381    ;430;Sportsbook;;;;;;;;;;
00J381    ;26/12/2012;323;9;M;3;500;1519,38;Sportsbook;;;;01284UW   ;427;Sportsbook;;;;;;;;;;
01148BP   ;03/09/2012;2;9;I;2;500;0;Sportsbook;;;;00357DG   ;420;Vegas;;;;;;;;;;
01148BP   ;06/09/2012;2;9;N;2;500;0;Sportsbook;;;;00J381    ;420;Sportsbook;;;;;;;;;;
01148BP   ;13/09/2012;;0;N;1;500;500;#NV;;;;01152SJ   ;418,8285;Poker;;;;;;;;;;
01148BP   ;13/09/2012;2;9;N;1;500;850;Sportsbook;;;;00357DG   ;416;Vegas;;;;;;;;;;
01148BP   ;16/09/2012;2;9;M;1;500;954,55;Sportsbook;;;;01148BP   ;412;Sportsbook;;;;;;;;;;
01148BP   ;25/09/2012;2;9;I;3;500;0;Sportsbook;;;;00J381    ;410,75;Sportsbook;;;;;;;;;;
01148BP   ;01/10/2012;2;9;M;1;500;1400;Sportsbook;;;;00775SM   ;403,1;Bingo;;;;;;;;;;
01148BP   ;13/10/2012;2;9;I;2;500;0;Sportsbook;;;;01284UW   ;403;Sportsbook;;;;;;;;;;
01148BP   ;23/10/2012;2;9;N;1;500;0;Sportsbook;;;;01152SJ   ;400,5465;Poker;;;;;;;;;;
01148BP   ;07/11/2012;2;9;N;1;500;1875;Sportsbook;;;;01152SJ   ;400,0499;Poker;;;;;;;;;;
01148BP   ;06/12/2012;2;9;M;1;500;1250;Sportsbook;;;;00C017    ;400;Poker;;;;;;;;;;
01148BP   ;08/12/2012;2;9;I;2;500;900;Sportsbook;;;;00J381    ;400;Sportsbook;;;;;;;;;;
01196ZZ   ;08/10/2012;2;9;I;3;500;0;Sportsbook;;;;00J381    ;400;#NV;;;;;;;;;;
01152SJ   ;06/11/2012;22527_PRCH;22527;I;1;499,2511;0;Poker;;;;01148BP   ;400;Sportsbook;;;;;;;;;;
01152SJ   ;26/12/2012;22527_PRCH;22527;I;1;493,5025;0;Poker;;;;01196ZZ   ;400;Sportsbook;;;;;;;;;;
01152SJ   ;18/12/2012;22528_PRCH;22528;I;4;489,6747;0;Casino;;;;00J381    ;393,4;Sportsbook;;;;;;;;;;
01284UW   ;03/12/2012;46;5;I;22;487;455;Sportsbook;;;;01196ZZ   ;390;Sportsbook;;;;;;;;;;
00J381    ;28/11/2012;323;9;M;2;480;0;Sportsbook;;;;01196ZZ   ;385;Sportsbook;;;;;;;;;;
