AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;;;;;;;;;;;;;
00C017    ;15/12/2012;22527_PRCH;22527;I;3;800;0;Poker;;;;;;;;;;;;;;;;
00J381    ;09/09/2012;2;9;N;4;800;1127,38;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;24/11/2012;2;9;N;2;800;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;30/11/2012;2;9;M;2;800;1150;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;14/11/2012;635;0;I;131;785,5;575,95;Games;;;;;;;;;;;;;;;;
01284UW   ;02/12/2012;46;5;I;23;784,5;635,85;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;27/12/2012;323;9;M;3;780;1056,25;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;29/09/2012;3;8;I;7;775;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;26/09/2012;22527_PRCH;22527;I;15;770,9384;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;06/12/2012;22528_PRCH;22528;I;1;756,3808;0;Casino;;;;;;;;;;;;;;;;
00J381    ;15/09/2012;323;9;M;3;751,65;748,87;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;21/09/2012;2;9;N;2;750;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;15/12/2012;2;9;I;2;750;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;20/12/2012;2;9;I;3;750;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;02/12/2012;273;3;I;6;750;925;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;23/12/2012;1;5;I;21;731;685,33;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;09/11/2012;323;9;M;5;730;813,75;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;10/09/2012;22508_STKE;22508;I;131;724,8;0;Bingo;;;;;;;;;;;;;;;;
00C017    ;01/12/2012;22527_PRCH;22527;I;2;700;0;Poker;;;;;;;;;;;;;;;;
00J381    ;17/09/2012;2;9;M;4;700;900;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;10/11/2012;2;9;M;5;700;1200;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;13/09/2012;2;9;I;3;700;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;04/11/2012;2;9;I;3;700;475;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;16/11/2012;2;9;M;2;700;1300;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;04/09/2012;22528_PRCH;22528;I;3;698,979;0;Casino;;;;;;;;;;;;;;;;
01148BP   ;05/09/2012;2;9;N;2;690,63;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;07/12/2012;22527_PRCH;22527;I;6;680;0;Poker;;;;;;;;;;;;;;;;
00C017    ;14/12/2012;22527_PRCH;22527;I;4;680;0;Poker;;;;;;;;;;;;;;;;
01284UW   ;22/12/2012;46;5;I;29;676;816;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;30/11/2012;273;3;I;17;675;1018,12;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;13/12/2012;22527_PRCH;22527;I;9;671,3076;0;Poker;;;;;;;;;;;;;;;;
00J381    ;13/11/2012;2;9;M;4;664,38;800;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;11/12/2012;22527_PRCH;22527;I;4;662,2825;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;12/09/2012;22528_PRCH;22528;I;6;656,291;0;Casino;;;;;;;;;;;;;;;;
00J381    ;28/12/2012;2;9;M;3;656,24;756,25;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;16/11/2012;22512_XFER;22512;I;92;656;304,7;Vegas;;;;;;;;;;;;;;;;
00C017    ;28/09/2012;22508_STKE;22508;I;48;656;0;Bingo;;;;;;;;;;;;;;;;
00C017    ;14/09/2012;22527_PRCH;22527;I;3;650;0;Poker;;;;;;;;;;;;;;;;
00J381    ;22/09/2012;2;9;M;5;650;866;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;11/10/2012;323;9;M;3;650;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;19/11/2012;2;9;M;2;650;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;12/10/2012;1;5;I;2;650;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;04/09/2012;22527_PRCH;22527;I;1;630,2786;0;Poker;;;;;;;;;;;;;;;;
01196ZZ   ;20/12/2012;22512_XFER;22512;I;5;630;180;Vegas;;;;;;;;;;;;;;;;
00J381    ;07/10/2012;2;9;M;3;626;352;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;12/10/2012;22512_XFER;22512;I;294;625;946,9;Vegas;;;;;;;;;;;;;;;;
00C017    ;21/09/2012;22527_PRCH;22527;I;3;625;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;22/10/2012;22528_PRCH;22528;I;4;624,8048;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;23/10/2012;22528_PRCH;22528;I;4;624,8048;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;28/11/2012;22528_PRCH;22528;I;1;624,1808;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;27/10/2012;22528_PRCH;22528;I;1;623,6014;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;01/10/2012;22527_PRCH;22527;I;1;620,0903;0;Poker;;;;;;;;;;;;;;;;
00357DG   ;17/11/2012;638;0;I;133;602;548,1;Games;;;;;;;;;;;;;;;;
01148BP   ;04/09/2012;2;9;I;2;600;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;19/10/2012;2;9;N;1;600;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;11/11/2012;2;9;I;2;600;600;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;29/11/2012;2;9;I;3;600;1500;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;28/11/2012;3;8;I;3;600;0;Sportsbook;;;;;;;;;;;;;;;;
00775SM   ;07/10/2012;22508_STKE;22508;I;569;587,2;0;Bingo;;;;;;;;;;;;;;;;
01152SJ   ;06/09/2012;22528_PRCH;22528;I;3;586,717;0;Casino;;;;;;;;;;;;;;;;
00J381    ;02/10/2012;2;9;M;4;580;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;07/10/2012;46;5;M;7;575;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;12/10/2012;22527_PRCH;22527;I;2;570;0;Poker;;;;;;;;;;;;;;;;
00357DG   ;26/11/2012;635;0;I;76;564;347,9;Games;;;;;;;;;;;;;;;;
01152SJ   ;11/10/2012;22528_PRCH;22528;I;4;561,7977;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;28/11/2012;22527_PRCH;22527;I;1;561,7627;0;Poker;;;;;;;;;;;;;;;;
00C017    ;18/11/2012;22527_PRCH;22527;I;2;560;0;Poker;;;;;;;;;;;;;;;;
00J381    ;09/12/2012;323;9;M;2;560;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;25/10/2012;275;5;I;11;560;441,63;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;30/09/2012;22528_PRCH;22528;I;6;555,3497;0;Casino;;;;;;;;;;;;;;;;
00J381    ;02/10/2012;42;4;M;2;550;484,62;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;17/11/2012;1;5;I;7;550;109,15;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;16/11/2012;22527_PRCH;22527;I;2;545;0;Poker;;;;;;;;;;;;;;;;
00J381    ;14/09/2012;2;9;M;3;540;866,67;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;30/09/2012;46;5;M;6;540;1120;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;02/10/2012;275;5;M;7;540;780;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;03/12/2012;2;9;N;1;538,75;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;23/09/2012;42;4;M;3;536,75;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;15/12/2012;2;9;I;6;536;572;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;02/12/2012;22508_STKE;22508;I;56;531,9;0;Bingo;;;;;;;;;;;;;;;;
00J381    ;23/09/2012;1;5;M;10;520;600;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;17/10/2012;2;9;M;3;520;525;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;28/11/2012;2;9;M;3;520;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;19/09/2012;323;9;M;3;510,75;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;10/10/2012;1;5;I;4;510;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;05/09/2012;22527_PRCH;22527;I;4;503,8416;0;Poker;;;;;;;;;;;;;;;;
00J381    ;01/10/2012;42;4;M;2;502,1;414,72;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;05/12/2012;275;5;N;3;500,25;674,07;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;07/09/2012;22527_PRCH;22527;I;2;500;0;Poker;;;;;;;;;;;;;;;;
00C017    ;05/10/2012;22527_PRCH;22527;I;3;500;0;Poker;;;;;;;;;;;;;;;;
00C017    ;09/11/2012;22527_PRCH;22527;I;2;500;0;Poker;;;;;;;;;;;;;;;;
00C017    ;20/11/2012;22527_PRCH;22527;I;2;500;0;Poker;;;;;;;;;;;;;;;;
00J381    ;26/12/2012;323;9;M;3;500;1519,38;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;03/09/2012;2;9;I;2;500;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;06/09/2012;2;9;N;2;500;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;13/09/2012;;0;N;1;500;500;#NV;;;;;;;;;;;;;;;;
01148BP   ;13/09/2012;2;9;N;1;500;850;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;16/09/2012;2;9;M;1;500;954,55;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;25/09/2012;2;9;I;3;500;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;01/10/2012;2;9;M;1;500;1400;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;13/10/2012;2;9;I;2;500;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;23/10/2012;2;9;N;1;500;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;07/11/2012;2;9;N;1;500;1875;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;06/12/2012;2;9;M;1;500;1250;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;08/12/2012;2;9;I;2;500;900;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;08/10/2012;2;9;I;3;500;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;06/11/2012;22527_PRCH;22527;I;1;499,2511;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;26/12/2012;22527_PRCH;22527;I;1;493,5025;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;18/12/2012;22528_PRCH;22528;I;4;489,6747;0;Casino;;;;;;;;;;;;;;;;
01284UW   ;03/12/2012;46;5;I;22;487;455;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;28/11/2012;323;9;M;2;480;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;20/12/2012;46;5;I;31;477,5;570,45;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;21/11/2012;2;9;M;3;475;675;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;30/10/2012;274;5;I;8;475;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;06/09/2012;22527_PRCH;22527;I;4;472,1435;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;24/10/2012;2;9;N;2;471,89;1394,59;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;26/10/2012;1;5;I;4;470;0;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;26/10/2012;22512_XFER;22512;I;237;461;210,3;Vegas;;;;;;;;;;;;;;;;
00J381    ;12/09/2012;2;9;N;3;460,89;1476,23;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;28/09/2012;22527_PRCH;22527;I;3;460;0;Poker;;;;;;;;;;;;;;;;
01196ZZ   ;25/09/2012;3;8;I;5;460;270;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;05/12/2012;323;9;M;3;456;656,25;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;22/09/2012;1;5;M;2;450;920;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;28/09/2012;42;4;M;4;450;647,5;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;23/11/2012;323;9;M;4;450;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;09/10/2012;2;9;N;1;450;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;26/10/2012;2;9;I;5;450;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;10/10/2012;46;5;I;2;450;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;12/12/2012;22527_PRCH;22527;I;6;448,6818;0;Poker;;;;;;;;;;;;;;;;
00C017    ;02/09/2012;22527_PRCH;22527;I;3;445;0;Poker;;;;;;;;;;;;;;;;
00J381    ;03/10/2012;323;9;M;3;444,62;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;10/09/2012;323;9;N;2;440;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;28/09/2012;323;9;M;3;430;650;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;17/11/2012;1;5;M;6;430;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;02/12/2012;274;5;I;22;427;100;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;06/12/2012;22512_XFER;22512;I;42;420;255;Vegas;;;;;;;;;;;;;;;;
00J381    ;22/09/2012;5;11;M;2;420;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;07/11/2012;22527_PRCH;22527;I;5;418,8285;0;Poker;;;;;;;;;;;;;;;;
00357DG   ;03/11/2012;22512_XFER;22512;I;118;416;316,4;Vegas;;;;;;;;;;;;;;;;
01148BP   ;27/09/2012;2;9;M;1;412;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;17/11/2012;323;9;M;3;410,75;0;Sportsbook;;;;;;;;;;;;;;;;
00775SM   ;30/09/2012;22508_STKE;22508;I;123;403,1;0;Bingo;;;;;;;;;;;;;;;;
01284UW   ;03/12/2012;273;3;I;13;403;485,26;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;06/12/2012;22527_PRCH;22527;I;1;400,5465;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;13/10/2012;22527_PRCH;22527;I;1;400,0499;0;Poker;;;;;;;;;;;;;;;;
00C017    ;02/12/2012;22527_PRCH;22527;I;1;400;0;Poker;;;;;;;;;;;;;;;;
00J381    ;07/10/2012;323;9;M;1;400;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;09/10/2012;;0;N;1;400;0;#NV;;;;;;;;;;;;;;;;
00J381    ;11/11/2012;323;9;N;1;400;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;13/11/2012;323;9;N;1;400;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;31/12/2012;323;9;M;1;400;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;16/09/2012;1;5;I;1;400;820;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;16/09/2012;1;5;M;1;400;359,38;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;02/10/2012;2;9;N;1;400;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;14/10/2012;2;9;I;1;400;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;24/11/2012;2;9;M;3;400;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;29/11/2012;2;9;N;1;400;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;25/09/2012;2;9;I;2;400;450;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;27/11/2012;2;9;M;2;393,4;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;24/11/2012;3;8;I;4;390;672,5;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;16/10/2012;3;8;I;3;385;362,5;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;07/10/2012;1;5;M;6;380;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;22/12/2012;323;9;M;2;380;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;05/11/2012;2;9;I;2;375;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;13/09/2012;22528_PRCH;22528;I;5;374,3682;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;15/09/2012;22528_PRCH;22528;I;2;372,2777;0;Casino;;;;;;;;;;;;;;;;
00J381    ;20/12/2012;323;9;M;2;367,5;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;16/09/2012;1;5;M;9;360;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;29/12/2012;323;9;N;2;360;0;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;08/11/2012;613;0;I;178;354;203;Games;;;;;;;;;;;;;;;;
01284UW   ;04/11/2012;274;5;I;17;354;100;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;18/10/2012;22527_PRCH;22527;I;2;350;0;Poker;;;;;;;;;;;;;;;;
00C017    ;09/12/2012;22527_PRCH;22527;I;1;350;0;Poker;;;;;;;;;;;;;;;;
00J381    ;24/09/2012;323;9;N;2;350;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;03/10/2012;275;5;M;5;350;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;04/10/2012;323;9;M;2;350;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;08/10/2012;2;9;M;2;350;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;22/11/2012;323;9;M;2;350;1185,94;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;10/12/2012;323;9;M;2;350;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;12/12/2012;323;9;M;2;350;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;30/12/2012;323;9;M;2;350;1340,63;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;02/12/2012;2;9;M;1;350;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;28/11/2012;22528_PRCH;22528;I;2;350;0;Casino;;;;;;;;;;;;;;;;
01196ZZ   ;01/12/2012;2;9;I;1;350;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;01/11/2012;275;5;I;4;350;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;07/10/2012;22527_PRCH;22527;I;3;348,55;0;Poker;;;;;;;;;;;;;;;;
00J381    ;30/09/2012;40;6;M;2;340;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;10/10/2012;2;9;N;1;337,5;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;17/09/2012;1;5;M;5;335;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;08/09/2012;22527_PRCH;22527;I;2;330;0;Poker;;;;;;;;;;;;;;;;
00C017    ;26/10/2012;22527_PRCH;22527;I;2;330;0;Poker;;;;;;;;;;;;;;;;
00357DG   ;21/11/2012;22512_XFER;22512;I;58;324;124,2;Vegas;;;;;;;;;;;;;;;;
01152SJ   ;08/10/2012;22527_PRCH;22527;I;3;322,2607;0;Poker;;;;;;;;;;;;;;;;
00357DG   ;19/11/2012;635;0;I;107;321;141,6;Games;;;;;;;;;;;;;;;;
00C017    ;02/11/2012;22527_PRCH;22527;I;2;320;0;Poker;;;;;;;;;;;;;;;;
00J381    ;10/10/2012;323;9;M;3;320;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;12/11/2012;2;9;M;2;320;660;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;27/12/2012;42;4;M;1;319;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;01/10/2012;2;9;M;2;316,67;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;11/10/2012;22527_PRCH;22527;I;1;312,1099;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;06/11/2012;22528_PRCH;22528;I;5;312,032;0;Casino;;;;;;;;;;;;;;;;
00J381    ;08/10/2012;19;1;M;1;311,31;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;14/10/2012;22527_PRCH;22527;I;1;310;0;Poker;;;;;;;;;;;;;;;;
00J381    ;10/10/2012;2;9;M;2;310;780;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;02/10/2012;323;9;M;2;308,05;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;11/12/2012;1;5;M;2;308;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;17/09/2012;323;9;M;2;306,26;528,13;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;04/10/2012;22527_PRCH;22527;I;1;305,3577;0;Poker;;;;;;;;;;;;;;;;
00J381    ;17/10/2012;323;9;M;2;305;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;03/09/2012;22527_PRCH;22527;I;2;300;0;Poker;;;;;;;;;;;;;;;;
00C017    ;19/10/2012;22527_PRCH;22527;I;1;300;0;Poker;;;;;;;;;;;;;;;;
00J381    ;01/09/2012;323;9;M;4;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;13/09/2012;323;9;N;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;18/09/2012;323;9;M;2;300;893,75;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;05/10/2012;323;9;M;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;15/10/2012;323;9;M;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;30/10/2012;323;9;N;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;08/11/2012;323;9;M;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;14/11/2012;323;9;M;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;15/11/2012;2;9;N;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;23/11/2012;2;9;M;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;04/12/2012;323;9;M;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;16/12/2012;323;9;M;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;21/12/2012;323;9;M;2;300;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;26/10/2012;2;9;M;2;300;250;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;06/12/2012;2;9;I;1;300;0;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;11/12/2012;CSH_PPAL;0;I;0;295,21;0;Adjustments;;;;;;;;;;;;;;;;
01284UW   ;05/11/2012;274;5;I;12;295;254,55;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;19/09/2012;22528_PRCH;22528;I;4;292,6138;0;Casino;;;;;;;;;;;;;;;;
00J381    ;21/09/2012;323;9;N;2;290;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;18/09/2012;2;9;I;3;285;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;01/09/2012;22527_PRCH;22527;I;2;284,3962;0;Poker;;;;;;;;;;;;;;;;
00J381    ;18/09/2012;275;5;M;5;283;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;10/11/2012;323;9;M;2;281,5;1584,38;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;01/09/2012;22527_PRCH;22527;I;2;281;0;Poker;;;;;;;;;;;;;;;;
00J381    ;22/11/2012;2;9;N;3;280;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;27/09/2012;42;4;M;2;277,5;277,5;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;18/11/2012;2;9;I;1;275;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;25/11/2012;2;9;N;2;274;0;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;25/10/2012;22512_XFER;22512;I;136;272;142,6;Vegas;;;;;;;;;;;;;;;;
00J381    ;16/09/2012;323;9;M;2;270,87;528,13;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;02/11/2012;323;9;N;2;270;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;03/12/2012;2;9;M;1;268;938;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;20/10/2012;1;5;I;2;267;427,35;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;04/12/2012;275;5;I;15;267;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;30/12/2012;22527_PRCH;22527;I;1;260;0;Poker;;;;;;;;;;;;;;;;
00J381    ;01/10/2012;323;9;M;1;260;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;12/11/2012;323;9;M;2;260;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;30/11/2012;46;5;I;17;260;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;16/09/2012;40;6;M;2;258;0;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;11/09/2012;22527_PRCH;22527;I;2;250;0;Poker;;;;;;;;;;;;;;;;
00C017    ;11/10/2012;22527_PRCH;22527;I;2;250;0;Poker;;;;;;;;;;;;;;;;
00C017    ;27/10/2012;22527_PRCH;22527;I;1;250;0;Poker;;;;;;;;;;;;;;;;
00C017    ;31/10/2012;22527_PRCH;22527;I;2;250;0;Poker;;;;;;;;;;;;;;;;
00C017    ;21/11/2012;22527_PRCH;22527;I;1;250;0;Poker;;;;;;;;;;;;;;;;
00C017    ;27/11/2012;22527_PRCH;22527;I;2;250;0;Poker;;;;;;;;;;;;;;;;
00J381    ;18/09/2012;19;1;M;1;250;0;Sportsbook;;;;;;;;;;;;;;;;
